タイトル,巻数,著者・編者,出版年,出版機関・出版社
史跡小牧山主郭地区第7次発掘調査概要報告書,,小牧市教育委員会,20160331,小牧市
史跡小牧山主郭地区第8次発掘調査概要報告書,,小牧市教育委員会,20170331,小牧市
篠岡古窯址群,,小牧市教育委員会,19720000,小牧市
大山廃寺発掘調査報告書,,小牧市教育委員会,19790300,小牧市
三ツ山古墳群発掘調査報告書,,"小牧市教育委員会, 愛知県土木部",19800331,小牧市
織田井戸遺跡発掘調査報告書,,小牧市教育委員会,19830300,小牧市
桃花台沿線開発事業地区内埋蔵文化財発掘調査報告書,,小牧市教育委員会,19870331,小牧市
小牧山城関連遺跡発掘調査概要報告書,,小牧市教育委員会,19890300,小牧市
小牧山城発掘調査報告書,,小牧市教育委員会,19900300,小牧市
小牧市遺跡分布地図,1,小牧市教育委員会,19900300,小牧市
西之海道遺跡,,小牧市教育委員会,19930300,小牧市
篠岡112号窯発掘調査報告書,,小牧市教育委員会,19940331,小牧市
中宮遺跡発掘調査報告書,,小牧市教育委員会,19940331,小牧市
大山窯発掘調査報告書,,小牧市教育委員会,19970331,小牧市
小牧城下町発掘調査報告書,,小牧市教育委員会,19980331,小牧市
史跡小牧山整備計画基本構想,,史跡小牧山整備計画策定会議,19990300,小牧市
史跡小牧山旧小牧中学校用地整備基本計画,,史跡小牧山整備計画策定会議,20000300,小牧市
史跡小牧山旧小牧中学校用地整備基本計画,,史跡小牧山整備計画策定会議,20000300,小牧市
史跡小牧山整備事業報告書:旧小牧中学校用地,,小牧市教育委員会,20050300,小牧市
岩屋古墳発掘調査報告書,,"イビソク, 小牧市教育委員会",20080300,小牧市
上御園遺跡第3次発掘調査報告書,,小牧市教育委員会,20080300,小牧市
史跡小牧山（小牧山城）発掘調査報告書２,2,小牧市教育委員会,20190329,小牧市
四反畑遺跡・清林寺遺跡・甚目寺町内の出土遺物,,甚目寺町教育委員会,19830331,"あま市
甚目寺町"
森南遺跡発掘調査報告書,,甚目寺町教育委員会,19900331,"あま市
甚目寺町"
甚目寺跡(南大門南)発掘調査概報,,甚目寺町教育委員会,19870300,"あま市
甚目寺町"
甚目寺遺跡,,甚目寺町教育委員会,19930300,"あま市
甚目寺町"
真向遺跡,,,19961107,新城市
川路萩平(下の段)遺跡試掘報告書,,澄田 正一,19620915,新城市
荒井遺跡発掘報告書,,安達 厚三,19670000,新城市
新城市川路萩平竹広馬場遺跡,,,19670000,新城市
萩平遺跡A地点第2次発掘調査報告,,安達 厚三,19690000,新城市
新城市上平井タイカ・豊栄真向遺跡,,新城市教育委員会,19790500,新城市
愛知県新城市計賀地遺跡発掘調査報告書,,新城市教育委員会,19940331,新城市
愛知県新城市諏訪遺跡発掘調査報告書,,新城市教育委員会,19941130,新城市
愛知県新城市勝負遺跡発掘調査報告書,,新城市教育委員会,19941130,新城市
愛知県新城市市内遺跡発掘調査報告書,,新城市教育委員会,19941130,新城市
大ノ木遺跡発掘調査報告書,,新城市教育委員会,19950331,新城市
愛知県新城市楠遺跡発掘調査報告書,,新城市教育委員会,19960331,新城市
東平遺跡発掘調査報告書,,新城市教育委員会,19970228,新城市
北下遺跡発掘調査報告書,,新城市教育委員会,19970331,新城市
経塚遺跡発掘調査報告書,,新城市教育委員会,19980227,新城市
島田陣屋遺跡発掘調査報告書,,新城市教育委員会,19980327,新城市
今水寺遺跡発掘調査報告書,,新城市教育委員会,19990326,新城市
観音前遺跡発掘調査報告書,,新城市教育委員会,19990330,新城市
上ノ川遺跡発掘調査報告書,,新城市教育委員会,19991126,新城市
史跡長篠城跡,5,新城市教育委員会,20060300,新城市
史跡長篠城跡,6,新城市教育委員会,20070330,新城市
愛知県新城市市内遺跡発掘調査報告書,1,新城市教育委員会,20080328,新城市
愛知県新城市市内遺跡発掘調査報告書,2,新城市教育委員会,20090311,新城市
愛知県新城市市内遺跡発掘調査報告書,3,新城市教育委員会,20100331,新城市
石座神社遺跡発掘調査報告書,,イビソク,20111213,新城市
武田勝頼戦地本陣跡発掘調査報告書,,イビソク名古屋支店,20130621,新城市
新城城跡発掘調査報告書,2,イビソク名古屋支店,20130628,新城市
新城城跡発掘調査報告書,3,イビソク名古屋支店,20140228,新城市
新城城跡発掘調査報告書,4,イビソク名古屋支店,20150630,新城市
新城城跡発掘調査報告書,5,イビソク名古屋支店,20161130,新城市
鏡岩下遺跡発掘調査報告書,,イビソク名古屋支店,20190322,新城市
愛知県加生沢旧石器時代遺跡,,加生沢遺跡調査会,19681001,新城市
旗頭山尾根古墳群・大入山古墳群発掘報告書,,"新城市教育委員会, 一宮町教育委員会",19800201,新城市
国広遺跡範囲確認調査概要報告書,,新城市教育委員会,19850331,新城市
南貝津遺跡発掘調査報告書,,新城市教育委員会,19890300,新城市
萩平上の段遺跡発掘調査報告書,,新城市教育委員会,20071001,新城市
極楽寺跡発掘調査報告書,,新城市教育委員会,20080319,新城市
八剣遺跡・神田遺跡発掘調査報告書,,新城市教育委員会,20090318,新城市
杉山遺跡発掘調査報告書,,イビソク,20111221,新城市
新城城跡発掘調査報告書,,イビソク名古屋支店,20120911,新城市
史跡長篠城跡保存活用計画,,新城市教育委員会,20200331,新城市
田ノ口遺跡調査概報,,作手村教育委員会,19860300,新城市
亀山城址試掘調査報告書,,作手村教育委員会,20040300,新城市
長篠城址試掘調査報告書,,鳳来町教育委員会,20040131,新城市
史跡長篠城跡,3,鳳来町教育委員会,20040900,新城市
史跡長篠城跡,4,鳳来町教育委員会,20050300,新城市
東権現A窯跡,,"瀬戸市教育委員会, 瀬戸市埋蔵文化財センター",19930301,（公財）瀬戸市文化振興財団
仏供田窯跡,,"瀬戸市教育委員会, 瀬戸市埋蔵文化財センター",19930331,（公財）瀬戸市文化振興財団
窯元A窯跡,,"瀬戸市教育委員会, 瀬戸市埋蔵文化財センター",19930331,（公財）瀬戸市文化振興財団
西窯A窯跡,1,"瀬戸市教育委員会, 瀬戸市埋蔵文化財センター",19930331,（公財）瀬戸市文化振興財団
経塚山西窯跡,,瀬戸市埋蔵文化財センター,19930331,（公財）瀬戸市文化振興財団
白坂雲興寺遺跡,,瀬戸市埋蔵文化財センター,19930000,（公財）瀬戸市文化振興財団
東山路遺跡,,瀬戸市埋蔵文化財センター,19930000,（公財）瀬戸市文化振興財団
下半田川C窯跡,1,瀬戸市埋蔵文化財センター,19940325,（公財）瀬戸市文化振興財団
暁窯跡,,瀬戸市埋蔵文化財センター,19950316,（公財）瀬戸市文化振興財団
水南中窯跡,,瀬戸市埋蔵文化財センター,19950316,（公財）瀬戸市文化振興財団
東拝戸A窯跡,,瀬戸市埋蔵文化財センター,19960319,（公財）瀬戸市文化振興財団
赤重窯跡,,瀬戸市埋蔵文化財センター,19960321,（公財）瀬戸市文化振興財団
品野西遺跡,,瀬戸市埋蔵文化財センター,19970331,（公財）瀬戸市文化振興財団
落合橋南遺跡,1,瀬戸市埋蔵文化財センター,19970331,（公財）瀬戸市文化振興財団
太子A窯跡,,瀬戸市埋蔵文化財センター,19970331,（公財）瀬戸市文化振興財団
上品野蟹川遺跡,1,瀬戸市埋蔵文化財センター,19980331,（公財）瀬戸市文化振興財団
落合橋南遺跡,2,瀬戸市埋蔵文化財センター,19980225,（公財）瀬戸市文化振興財団
八床9・10号窯跡,,瀬戸市埋蔵文化財センター,19980306,（公財）瀬戸市文化振興財団
駒前第1号墳,,瀬戸市埋蔵文化財センター,19980331,（公財）瀬戸市文化振興財団
市内遺跡調査報告,1,瀬戸市埋蔵文化財センター,19980331,（公財）瀬戸市文化振興財団
上品野蟹川遺跡,2,瀬戸市埋蔵文化財センター,19990331,（公財）瀬戸市文化振興財団
瓶子窯跡 ,,瀬戸市埋蔵文化財センター,20000330,（公財）瀬戸市文化振興財団
広久手18・20・30号窯跡,,瀬戸市埋蔵文化財センター,20010315,（公財）瀬戸市文化振興財団
内田町遺跡,,瀬戸市埋蔵文化財センター,20020322,（公財）瀬戸市文化振興財団
塩草B窯跡,,瀬戸市埋蔵文化財センター,20020329,（公財）瀬戸市文化振興財団
川合K窯跡,,瀬戸市埋蔵文化財センター,20020329,（公財）瀬戸市文化振興財団
小長曽陶器窯跡,,瀬戸市埋蔵文化財センター,20020329,（公財）瀬戸市文化振興財団
五葉窯跡,,瀬戸市埋蔵文化財センター,20030320,（公財）瀬戸市文化振興財団
吉野遺跡,,瀬戸市埋蔵文化財センター,20050228,（公財）瀬戸市文化振興財団
矢形遺跡,,瀬戸市埋蔵文化財センター,20050325,（公財）瀬戸市文化振興財団
八王子遺跡,,瀬戸市文化振興財団,20060324,（公財）瀬戸市文化振興財団
惣作・鐘場遺跡,1,瀬戸市文化振興財団,20060326,（公財）瀬戸市文化振興財団
御蔵会所遺跡,,瀬戸市文化振興財団,20060324,（公財）瀬戸市文化振興財団
神事池窯跡,,瀬戸市文化振興財団,20060315,（公財）瀬戸市文化振興財団
惣作・鐘場遺跡,2,瀬戸市文化振興財団,20060324,（公財）瀬戸市文化振興財団
丁子田窯跡・市ヶ洞1号窯跡,,,,（公財）瀬戸市文化振興財団
瀬戸窯 ,,瀬戸市文化振興財団,20080300,（公財）瀬戸市文化振興財団
仙左衛門窯跡　七郎左窯跡,,,,（公財）瀬戸市文化振興財団
赤津長根第1・2号窯発掘調査概要,,,,（公財）瀬戸市文化振興財団
三ヶ峯第七号窯発掘調査報告書,,,,（公財）瀬戸市文化振興財団
針原窯跡国指定史跡小長曽陶器窯跡,,瀬戸市文化振興財団,20120323,（公財）瀬戸市文化振興財団
門前B窯跡,,瀬戸市文化振興財団,20120323,（公財）瀬戸市文化振興財団
音玄窯跡,,瀬戸市文化振興財団,20130323,（公財）瀬戸市文化振興財団
権現遺跡,,,,（公財）瀬戸市文化振興財団
品野中部遺跡 ; 穴田古窯跡群 ; 石田遺跡,,瀬戸市文化振興財団,20130328,（公財）瀬戸市文化振興財団
洞窯跡・東洞A窯跡,,瀬戸市文化振興財団,20130228,（公財）瀬戸市文化振興財団
穴田窯跡,1遺構編,瀬戸市文化振興財団,20140328,（公財）瀬戸市文化振興財団
若宮遺跡 (若宮町3-84地点),,瀬戸市文化振興財団,20140328,（公財）瀬戸市文化振興財団
東印所A窯跡,,瀬戸市文化振興財団,20150331,（公財）瀬戸市文化振興財団
今村城跡,,瀬戸市文化振興財団,20150327,（公財）瀬戸市文化振興財団
若宮遺跡,,瀬戸市文化振興財団,20160328,（公財）瀬戸市文化振興財団
大坪西遺跡,,瀬戸市文化振興財団,20160331,（公財）瀬戸市文化振興財団
陶祖公園内窯跡発掘調査報告書,,瀬戸市文化振興財団,20170324,（公財）瀬戸市文化振興財団
中水野遺跡発掘調査報告書,,瀬戸市文化振興財団,20170331,（公財）瀬戸市文化振興財団
大平窯跡・大平縄文遺跡,,瀬戸市文化振興財団,20170331,（公財）瀬戸市文化振興財団
東洞A窯跡 ; 桂蔵窯跡 ; 品野西遺跡 ; 神川町遺跡,,瀬戸市文化振興財団,20190329,（公財）瀬戸市文化振興財団
白坂雲興寺遺跡,2,瀬戸市文化振興財団,20190329,（公財）瀬戸市文化振興財団
穴山窯跡,,,,（公財）瀬戸市文化振興財団
若宮遺跡 (若宮町3-85地点),,,,（公財）瀬戸市文化振興財団
瀬戸市四ツ谷3号古墳,,考土サークル,19620601,瀬戸市
平安期,,考土サークル,19670400,瀬戸市
菱野団地古窯阯群,,考土サークル,19701201,瀬戸市
南山第2号窯発掘調査報告,,瀬戸市歴史民俗資料館,19810331,瀬戸市
赤津長根第1・2号窯発掘調査概要,,瀬戸市歴史民俗資料館,19810331,瀬戸市
穴田第1・2号窯発掘調査概要,,瀬戸市歴史民俗資料館,19810331,瀬戸市
大草第6号窯発掘調査報告,,瀬戸市歴史民俗資料館,19820331,瀬戸市
南山第33号窯発掘調査報告,,瀬戸市教育委員会,19830331,瀬戸市
南山第15・34号窯発掘調査報告,,瀬戸市教育委員会,19840930,瀬戸市
瀬戸暁地区内陸用地造成事業に伴う埋蔵文化財(緊急)発掘調査報告書,,瀬戸市教育委員会,19850331,瀬戸市
愛知工業大学グランド造成工事に伴う埋蔵文化財発掘調査報告書,,瀬戸市教育委員会,19851130,瀬戸市
瀬戸市大六遺跡,,瀬戸市教育委員会,19630500,瀬戸市
釜ケ洞古窯址群,,瀬戸南部土地区画整理組合,19780300,瀬戸市
古瀬戸小西遺跡,,瀬戸市教育委員会,19870328,瀬戸市
瀬戸市埋蔵文化財年報,昭和62年度,瀬戸市教育委員会,19890331,瀬戸市
瀬戸市埋蔵文化財年報,昭和63・平成元年度,瀬戸市教育委員会,19870330,瀬戸市
瀬戸市埋蔵文化財年報,平成2年度,瀬戸市教育委員会,19880228,瀬戸市
上品野遺跡,,瀬戸市教育委員会文化財課,19900330,瀬戸市
尾呂,,瀬戸市教育委員会文化財課,19900331,瀬戸市
穴田第11号墳・種成第4号窯跡,,瀬戸市教育委員会文化財課,19910331,瀬戸市
穴田南第6号窯跡,,瀬戸市教育委員会文化財課,19910331,瀬戸市
海上遺跡,,瀬戸市教育委員会文化財課,19920325,瀬戸市
上半田川遺跡,,瀬戸市教育委員会文化財課,19920325,瀬戸市
穴田南古窯跡群,4,瀬戸市教育委員会文化財課,19920331,瀬戸市
上之山,,瀬戸市教育委員会文化財課,19920331,瀬戸市
東本町A窯跡,,瀬戸市教育委員会,19920331,瀬戸市
瀬戸市内遺跡詳細分布調査報告書,,瀬戸市教育委員会,19970300,瀬戸市
瀬戸市詳細遺跡地図,,瀬戸市教育委員会文化財課,19970300,瀬戸市
高浜市研屋遺跡発掘調査報告書,,高浜市教育委員会,19890300,高浜市
八幡社貝塚,,高浜市教育委員会,19940331,高浜市
高浜町の先史・古代遺跡,,斎藤 嘉彦,19661230,高浜市
山崎古墳,,武豊町教育委員会,19841000,武豊町
蛇ケ谷古窯址群,,武豊町教育委員会,19861200,武豊町
南蛇ケ谷古窯址群,,武豊町歴史民俗資料館,19861200,武豊町
下別曽古窯址群,本編,武豊町教育委員会,19870300,武豊町
下別曽古窯址群,別刷,武豊町教育委員会,19870300,武豊町
中田池古窯址群,1,武豊町教育委員会,19900320,武豊町
中田池古窯址群,2,武豊町教育委員会,19920310,武豊町
ウスガイト遺跡の記憶,,武豊町教育委員会,19980331,武豊町
長尾城跡発掘調査報告書,,武豊町教育委員会,20130301,武豊町
国指定史跡吉胡貝塚,1,田原市教育委員会,20070300,田原市
宮西遺跡発掘調査概要報告書,,田原市教育委員会,20070300,田原市
青津前田遺跡　羽根貝塚　新美古墳,,田原市教育委員会,20100331,田原市
長代遺跡,,田原市教育委員会,20110300,田原市
宮西遺跡,1,田原市教育委員会,20120331,田原市
大草平松古窯跡群　蔵屋敷古窯跡群　本前古窯跡群　弥栄古窯跡群,,田原市教育委員会,20130331,田原市
保美貝塚の範囲確認・現況測量調査,,田原市教育委員会,20130331,田原市
伊川津貝塚・平野貝塚調査概要報告書,,田原市教育委員会,20150300,田原市
宮西遺跡,2,田原市教育委員会,20150300,田原市
仲古窯跡群　富山C古窯跡群　平岩古窯跡群　野添原A古窯跡群,,田原市教育委員会,20160131,田原市
保美貝塚,,田原市教育委員会,20170331,田原市
八幡上貝塚発掘調査報告書,,田原市教育委員会,20170331,田原市
渥美半島の製塩遺跡群,,田原市教育委員会,20180331,田原市
西の浜久衛森遺跡調査概報,,西の浜久衛森遺跡調査団,19791103,田原市
西の浜久衛森遺跡,,西の浜久衛森遺跡調査団,19800930,田原市
ドウツン松遺跡,,ドウツン松遺跡調査会,19880700,田原市
渥美セレモニーホール建設に伴う発掘調査,5,二友組,20100500,田原市
保美貝塚発掘調査概要報告書,2010年度,二友組,20110200,田原市
山崎遺跡,,山崎遺跡調査会,19930300,田原市
田原城跡,1,田原町教育委員会,19950300,田原市
鴨森古窯跡群,,田原町教育委員会,19980200,田原市
吉胡遺跡,,田原町教育委員会,19980300,田原市
国指定史跡吉胡貝塚,,田原町教育委員会,20030300,田原市
惣作古窯跡群(2) ; 田原城跡(2) ; 桜畑古窯跡群,,田原町教育委員会,20030300,田原市
渥美半島における古代・中世の窯業遺跡,,田原町教育委員会,19710330,田原市
田原の文化,5,田原町文化財調査会,19731101,田原市
惣作古窯址群,,小野田 勝一,19760331,田原市
吉胡貝塚分布調査報告,,田原町教育委員会,19810300,田原市
田原の文化,10,田原町文化財保護審議会,19840300,田原市
田原の文化,15,田原町文化財保護審議会,19890300,田原市
山崎遺跡調査概報,,小野田 勝一,19891100,田原市
田原城跡確認調査報告書,,田原町教育委員会,19900300,田原市
山崎遺跡,,山崎遺跡発掘調査会,19910300,田原市
向山古墳群,,小野田 勝一,20020000,田原市
鬼堕古墳,,赤羽根町文化財審議会,19780331,田原市
竜ヶ原古窯址群,,赤羽根町文化財保護審議会,19810315,田原市
夕古窯址群,,赤羽根町文化財保護審議会,19820315,田原市
梶廻間古窯群,,八幡公民館,19621215,知多市
大廻間遺跡,,知多市教育委員会,19750228,知多市
法海寺遺跡,,知多市教育委員会,19790328,知多市
細見遺跡,第1次発掘調査,知多市教育委員会,19820330,知多市
細見遺跡,第2次発掘調査,知多市教育委員会,19840815,知多市
細見遺跡,第3次発掘調査,知多市教育委員会,19860815,知多市
刀池第11号窯,,知多市教育委員会,19861015,知多市
七曲古窯址群,第1次,知多市教育委員会,19870320,知多市
七曲古窯址群,第2次,知多市教育委員会,19880225,知多市
七曲古窯址群,第3次,知多市教育委員会,19890330,知多市
二股貝塚,,知多市教育委員会,19910330,知多市
法海寺遺跡,2,名古屋大学文学部考古学研究室,19930801,知多市
刀池遺跡,,名古屋大学文学部考古学研究室,19930720,知多市
下内橋遺跡,,"名古屋大学文学部考古学研究室, 古代学研究所",19960325,知多市
篭池古窯群・西渕馬古窯群,,知多市教育委員会,20010321,知多市
細見遺跡,第4次発掘調査,知多市教育委員会,20020315,知多市
堀切古墓,,知多市教育委員会,20030320,知多市
西渕馬古窯群,,知多市教育委員会,20040326,知多市
楠廻間貝塚,,知多市教育委員会,20050331,知多市
大草城跡,,知多市教育委員会,20080331,知多市
西屋敷貝塚,,知多町役場八幡支所内八幡公民館郷土史編纂部,19580315,知多市
知立市考古資料集成,,知立市教育委員会,19830331,知立市
天神・祐古山・中長・荒新切地区範囲確認調査報告書,,知立市教育委員会,19850300,知立市
知立市西中遺跡群発掘調査報告書,1985年度,知立市教育委員会,19860325,知立市
知立市西中遺跡群発掘調査報告書,2,知立市教育委員会,19870325,知立市
知立市西中遺跡群発掘調査報告書,3,知立市教育委員会,19880325,知立市
重原,,知立市教育委員会,19880331,知立市
荒新切遺跡2・西中神明社南遺跡,,知立市教育委員会,19890325,知立市
荒新切遺跡,3,知立市教育委員会,19900331,知立市
西中神明社南遺跡,,知立市教育委員会,19920328,知立市
腰前遺跡発掘調査概報,平成5年度,知立市教育委員会,19940331,知立市
腰前遺跡発掘調査概報,平成6年度,知立市教育委員会,19950331,知立市
小針遺跡,1,知立市教育委員会,19960331,知立市
小針遺跡,2,知立市教育委員会,19970331,知立市
間瀬口遺跡発掘調査報告書,,知立市教育委員会,19970331,知立市
小針遺跡,3,知立市教育委員会,19980331,知立市
島間遺跡・腰前遺跡,,知立市教育委員会,19990300,知立市
八橋古城跡,,知立市教育委員会,19990331,知立市
荒新切遺跡,,知立市教育委員会,20110331,知立市
八橋古城跡,2,知立市教育委員会,20120331,知立市
鍛治荒井遺跡,,知立市教育委員会,20170331,知立市
津島市埋田遺跡発掘調査報告,,津島市史編纂委員会,19681000,津島市
堂平遺跡,,東栄町教育委員会,20151201,東栄町
柳が坪遺跡,,東海市教育委員会,19710615,東海市
堂ノ前貝塚発掘調査報告,,東海市教育委員会,19720330,東海市
カブト山遺跡,第1次,東海市教育委員会,19730600,東海市
カブト山遺跡,第2次,東海市教育委員会,19740228,東海市
松崎貝塚,,東海市教育委員会,19770331,東海市
中ノ池遺跡群発掘調査報告書,,東海市教育委員会,19820315,東海市
法秀古窯発掘調査報告書,,東海市教育委員会,19830831,東海市
松崎貝塚第2次発掘調査報告書,,東海市教育委員会,19840731,東海市
尾張長光寺製塩遺跡,,東海市教育委員会,19860331,東海市
菩薩遺跡,,東海市教育委員会,19870323,東海市
東海市遺跡分布地図,,東海市教育委員会社会教育課,19880300,東海市
トゝメキ遺跡,,東海市教育委員会,19880320,東海市
大木之本遺跡発掘調査報告書　,,東海市教育委員会,19910328,東海市
浅山新田堤防発掘調査報告,,東海市教育委員会,19960226,東海市
東畑遺跡等試掘調査報告,,東海市教育委員会,19970327,東海市
愛知県東海市知多弥勒寺遺跡発掘調査報告,,東海市教育委員会,19980320,東海市
大木之本遺跡第2地点発掘調査報告,,東海市教育委員会,19980320,東海市
上浜田遺跡発掘調査報告,,東海市教育委員会,19990323,東海市
畑間遺跡発掘調査報告,2004年,東海市教育委員会,20040331,東海市
松崎遺跡確認調査報告,,東海市教育委員会,20050331,東海市
松崎遺跡周辺古地形復元ボーリング調査報告,,東海市教育委員会,20060324,東海市
畑間・東畑遺跡発掘調査報告,,国際航業,20090807,東海市
畑間・東畑・郷中遺跡発掘調査報告,平成22年度,島田組,20110330,東海市
畑間・東畑・郷中遺跡発掘調査報告,,安西工業名古屋支店,20120331,東海市
畑間・東畑・龍雲院遺跡発掘調査報告,,国際文化財,20130329,東海市
畑間・東畑遺跡発掘調査報告,平成24年度,島田組中部営業所,20140330,東海市
畑間・東畑・郷中遺跡発掘調査報告,本文編/図版編,国際文化財西日本支店,20140331,東海市
畑間・東畑・郷中遺跡発掘調査報告,平成25年度,アコード名古屋営業所,20150331,東海市
畑間・東畑遺跡発掘調査報告,平成26年度,国際文化財中部支店,20160331,東海市
北広遺跡範囲確認調査報告,,国際文化財中部支店,20160331,東海市
畑間遺跡発掘調査報告,平成27年度,島田組中部営業所,20170331,東海市
畑間遺跡発掘調査報告,平成28年度,アコード名古屋営業所,20180330,東海市
北広遺跡発掘調査報告,,国際文化財中部支店,20190329,東海市
畑間・東畑遺跡発掘調査報告,平成29年度,国際文化財中部支店,20190331,東海市
畑間・東畑遺跡発掘調査報告,平成30年度,安西工業名古屋支店,20200331,東海市
畑間・東畑遺跡発掘調査報告,令和元年度,四門名古屋支店,20210331,東海市
太佐山高射砲陣地跡確認調査報告,令和2年度,四門名古屋支店,20210331,東海市
太佐山高射砲陣地跡確認調査報告,令和2年度2,四門名古屋支店,20220331,東海市
畑間遺跡発掘調査報告　,令和2年度,アコード名古屋営業所,20230331,東海市
横須賀の遺跡,,岡戸 栄吉,19560331,東海市
八幡社貝塚発掘調査報告,,上野町教育委員会,19671101,東海市
東畑遺跡発掘調査報告,平成30年度,アコード名古屋営業所,20190331,東海市
東郷の郷土資料,1,東郷町教育委員会,197903,東郷町
東郷の郷土資料,2,東郷町教育委員会,198003,東郷町
東郷の郷土資料,3,東郷町教育委員会,198103,東郷町
東郷の郷土資料,4,東郷町教育委員会,198203,東郷町
古刹　裕福寺の瓦,,東郷町教育委員会,198303,東郷町
茶臼山古墳調査報告,,東郷町教育委員会,19790200,東郷町
筋塀基部概報,初年度昭和53年度,東郷町教育委員会,19790300,東郷町
参道筋塀基部概報,第2次,東郷町教育委員会,19810200,東郷町
猿投窯　黒笹7号窯跡発掘調査報告書,,東郷町教育委員会,19920331,東郷町
常滑市毘沙クゼ古窯址群,,常滑市教育委員会,19710400,常滑市
三郎谷西古窯址群,,常滑市教育委員会,19730200,常滑市
柴山古窯址群,,常滑市教育委員会,19740600,常滑市
二ノ田古窯址群,,常滑市教育委員会,19780300,常滑市
金色東古窯址群,,常滑市教育委員会,19790300,常滑市
清水山古窯址群,,常滑市教育委員会,19800321,常滑市
松渕古窯址群,,常滑市教育委員会,19810325,常滑市
高坂古窯址群,,常滑市教育委員会,19810625,常滑市
出地田古窯址群発掘調査報告書,,常滑市教育委員会,19830320,常滑市
濁池古窯址群発掘調査報告書,,常滑市教育委員会,19830325,常滑市
鎗場・御林古窯址群,,知多古文化研究会,19850300,常滑市
上白田古窯址群,,知多古文化研究会,19880300,常滑市
猿喰古窯址群,,知多古文化研究会,19900320,常滑市
小森古窯址群,,知多古文化研究会,19900320,常滑市
長曽古窯址発掘調査報告書,,知多古文化研究会,19910000,常滑市
亀塚池古窯址群発掘調査報告書,,知多古文化研究会,19930300,常滑市
四池・松渕古窯址群発掘調査報告書,,知多古文化研究会,19930300,常滑市
神水古窯発掘調査報告書,,常滑市教育委員会,19970300,常滑市
茨廻間古窯跡群発掘調査報告書,,常滑市教育委員会,20010131,常滑市
大曽公園古窯跡群発掘調査報告書,,常滑市教育委員会,20010331,常滑市
金色東B古窯群,,常滑市教育委員会,20040325,常滑市
金山屋敷遺跡,,常滑市教育委員会,20040325,常滑市
椎池古窯跡群・柴山F古窯跡,,常滑市教育委員会,20050225,常滑市
石瀬貝塚,,常滑市教育委員会,19620331,常滑市
三郎谷第1号窯,,知多古文化研究会,19820300,常滑市
九左山古窯址群調査報告,,豊明市教育委員会,197310,豊明市
沓掛城址発掘調査報告書,第1次,豊明市沓掛城址発掘調査団,19820300,豊明市
沓掛城址発掘調査報告書,第2次,豊明市沓掛城址発掘調査団,19830300,豊明市
沓掛城址発掘調査報告書,第3次,豊明市沓掛城址発掘調査団,19840300,豊明市
沓掛城址発掘調査報告書,第4次,豊明市沓掛城址発掘調査団,19850300,豊明市
沓掛城址,,豊明市教育委員会,19860331,豊明市
沓掛城址発掘調査概要報告書,第5次,豊明市教育委員会,19870300,豊明市
姥子古窯跡発掘調査報告書,,豊明市教育委員会,19940300,豊明市
麻生田大橋遺跡,第2・第3次調査概報,豊川市教育委員会,19800301,豊川市
麻生田大橋遺跡,第4次調査概報,豊川市教育委員会,19810331,豊川市
麻生田大橋遺跡,第5・第6次調査概報,豊川市教育委員会,19850330,豊川市
麻生田大橋遺跡,第7・8・9次調査概報,豊川市教育委員会,19860331,豊川市
三河国分寺跡,,豊川市教育委員会,19890300,豊川市
三河国分寺跡,2,豊川市教育委員会,20100326,豊川市
豊川市内遺跡発掘調査概報,1,豊川市教育委員会,19920331,豊川市
豊川市内遺跡発掘調査概報,2,豊川市教育委員会,19930300,豊川市
豊川市内遺跡発掘調査概報,3,豊川市教育委員会,19940331,豊川市
豊川市内遺跡発掘調査概報,4,豊川市教育委員会,19950331,豊川市
豊川市内遺跡発掘調査概報,5,豊川市教育委員会,19960329,豊川市
豊川市内遺跡発掘調査概報,6,豊川市教育委員会,19970331,豊川市
豊川市内遺跡発掘調査概報,7,豊川市教育委員会,19980331,豊川市
豊川市内遺跡発掘調査概報,8,豊川市教育委員会,19990331,豊川市
豊川市内遺跡発掘調査概報,9,豊川市教育委員会,20060300,豊川市
豊川市内遺跡発掘調査概報,10,豊川市教育委員会,20080326,豊川市
豊川市内遺跡発掘調査概報,11,豊川市教育委員会,20090331,豊川市
発掘だより,31,,19990000,豊川市
発掘だより,32,,19990000,豊川市
天間遺跡,,豊川市教育委員会,19950331,豊川市
駒場遺跡,,豊川市教育委員会,19960331,豊川市
国分寺北遺跡,1,豊川市教育委員会,20110331,豊川市
下六光寺遺跡,,豊川市教育委員会,20130331,豊川市
麻生田大橋遺跡範囲確認調査報告,,豊川市教育委員会,19780300,豊川市
豊川市久保町久保古墳範囲確認調査概要,,豊川市教育委員会,19820100,豊川市
史跡三河国分寺跡発掘調査概報,1,豊川市教育委員会,19830330,豊川市
山ノ入遺跡発掘調査報告書,,豊川市教育委員会,19850330,豊川市
為当条里遺跡発掘調査報告書,,豊川市教育委員会,19870331,豊川市
山西遺跡,,豊川市教育委員会,19880331,豊川市
石坪・郷中・雨谷遺跡,,豊川市教育委員会,19880331,豊川市
史跡三河国分寺跡・三河国分尼寺跡保存管理計画,,豊川市教育委員会,19890300,豊川市
郷中・雨谷,,豊川市教育委員会,19890318,豊川市
船山第1号墳発掘調査報告書,,豊川市教育委員会,19890323,豊川市
