タイトル,巻数,著者・編者,出版元,出版年
原色岩石図譜,,"和田八重造, 粟津秀幸共著",桐陰堂書店,1954
原色岩石図鑑,保育社の原色図鑑13,益富壽之助著,保育社,1955
[無脊椎動物]棘皮・毛顎・前肛・軟体動物,原色動物大圖鑑3,"岡田要, 瀧庸他共著",北隆館,1957
原色日本林業樹木図鑑-- 改訂版,第1巻,倉田悟著,地球出版,1971-1976
原色日本林業樹木図鑑-- 改訂版,第2巻,倉田悟著,地球出版,1971-1976
原色日本林業樹木図鑑-- 改訂版,第3巻,倉田悟著,地球出版,1971-1976
原色日本林業樹木図鑑-- 改訂版,第4巻,倉田悟著,地球出版,1971-1976
原色日本林業樹木図鑑-- 改訂版,第5巻,倉田悟著,地球出版,1971-1976
地学辞典,,加藤武夫監修 ; 渡邊貫編輯,古今書院,
地学事典,,地学団体研究会地学事典編集委員会編,平凡社,1970
岩石學  (岩波全書 ; 91),,坪井誠太郎著,岩波書店,1950
地学教育辞典,,"藤本治義, 鈴木敬信編",朝倉書店,1957
地学辞典-- 新版,第1巻,竹内均 [ほか] 編,古今書院,1970-1973
地学辞典-- 新版,第2巻,竹内均 [ほか] 編,古今書院,1970-1973
文化人類学 : 人間と文化の理論(新文化叢書),,堀喜望著,法律文化社,1954
文化人類学事典,,石川栄吉 [ほか] 編,弘文堂,1987
顕微鏡の使い方,,,,
高等写真技術,,,,
写真技術,,,,
骨角器(考古学ライブラリー ; 53),53,大竹憲治著,ニュー・サイエンス社,1989
歴史資料保存機関総覧,西日本,地方史研究協議会編,山川出版社,1979
歴史資料保存機関総覧,東日本,地方史研究協議会編,山川出版社,1979
近畿古代文化論考,,直良信夫著 ; 春成秀爾編,木耳社,1991
日本古代食事典,,永山久夫著,東洋書林,1998
世界地理ハンドブック,,"三野与吉,工藤暢須著",朝倉書店,1958
民俗学関係雑誌文献総覧,,竹田旦編,国書刊行会,1978
日本民俗学文献総目録,,日本民俗学会編,弘文堂,1980
"Atlas of animal bones : for prehistorians, archaeologists and Quaternary geologists = Knochenatlas : für Prähistoriker, Archäologen und Quartärgeologen ",,Elisabeth Schmid ; drawings by Otto Garraux,Elsevier Pub. Co,1972
"Atlas of animal bones : for prehistorians, archaeologists and Quaternary geologists = Knochenatlas : für Prähistoriker, Archäologen und Quartärgeologen",,Elisabeth Schmid ; drawings by Otto Garraux,Elsevier Pub. Co,1972
アイヌ民族誌 上 -- 第一法規,上,アイヌ文化保存対策協議会編,,1969
アイヌ民族誌 下 -- 第一法規,下,アイヌ文化保存対策協議会編,,1969
新潮世界美術辞典,,,新潮社,1985
history of domestic mammals in central and eastern Europe,,Sándor Bökönyi,Akademiai Kiado,1974
国宝事典,,文化財保護委員会編,便利堂,1961
やきもの事典,,,平凡社,1984
中世の出土銭,,,,
関鍛冶の起源をさぐる,,,,
近現代考古学の射程,,,,
モノが語る日本の近現代生活,,,,
考古学のための法律,,,,
近世・近現代考古学入門,,,,
人はなぜ戦うのか,,,,
末永雅雄が語る大和発掘ものがたり,,,,
展望日本歴史３　原始社会,,,,
新視点　日本の歴史１,,,,
北辺の海の民 : モヨロ貝塚,シリーズ遺跡を学ぶ１ ,米村 衛／著 ,新泉社,
天下布武の城　安土城,シリーズ遺跡を学ぶ２,木戸 雅寿／著,新泉社,
古墳時代の地域社会復元　三ツ寺Ⅰ遺跡,シリーズ遺跡を学ぶ３,若狭 徹／著 ,新泉社,
原始集落を掘る　尖石遺跡,シリーズ遺跡を学ぶ４,勅使河原 彰／著 ,新泉社,
世界をリードした磁器窯・肥前窯 ,シリーズ遺跡を学ぶ５,大橋 康二／著 ,新泉社,
五千年におよぶムラ・平出遺跡 ,シリーズ遺跡を学ぶ６,小林 康男／著 ,新泉社,
豊饒の海の縄文文化・曽畑貝塚 ,シリーズ遺跡を学ぶ７,木崎 康弘／著,新泉社,
未盗掘石室の発見・雪野山古墳 ,シリーズ遺跡を学ぶ８,佐々木 憲一／著 ,新泉社,
氷河期を生き抜いた狩人　矢出川遺跡,シリーズ遺跡を学ぶ９,堤 隆／著 ,新泉社,
描かれた黄泉の世界　王塚古墳,シリーズ遺跡を学ぶ１０,柳沢 一男／著 ,新泉社,
江戸のミクロコスモス・加賀藩江戸屋敷 ,シリーズ遺跡を学ぶ１１,追川 吉生／著 ,新泉社,
北の黒曜石の道　白滝遺跡群,シリーズ遺跡を学ぶ１２,木村 英明／著 ,新泉社,
古代祭祀とシルクロードの終着地・沖ノ島 ,シリーズ遺跡を学ぶ１３,弓場 紀知／著 ,新泉社,
黒潮を渡った黒曜石・見高段間遺跡 ,シリーズ遺跡を学ぶ１４,池谷 信之／著 ,新泉社,
縄文のイエとムラの風景・御所野遺跡 ,シリーズ遺跡を学ぶ１５,高田 和徳／著 ,新泉社,
鉄剣銘一一五文字の謎に迫る・埼玉古墳群 ,シリーズ遺跡を学ぶ１６,高橋 一夫／著 ,新泉社,
石にこめた縄文人の祈り・大湯環状列石 ,シリーズ遺跡を学ぶ１７,秋元 信夫／著 ,新泉社,
土器製塩の島・喜兵衛島製塩遺跡と古墳 ,シリーズ遺跡を学ぶ１８,近藤 義郎／著 ,新泉社,
縄文の社会構造をのぞく・姥山貝塚 ,シリーズ遺跡を学ぶ１９,堀越 正行／著,新泉社,
大仏造立の都・紫香楽宮,シリーズ遺跡を学ぶ２０,小笠原 好彦／著,新泉社,
律令国家の対蝦夷政策　相馬の製鉄遺跡群 ,シリーズ遺跡を学ぶ２１,飯村 均／著 ,新泉社,
筑紫政権からヤマト政権へ　豊前石塚山古墳,シリーズ遺跡を学ぶ２２,長嶺 正秀／著,新泉社,
弥生実年代と都市論のゆくえ　池上曽根遺跡,シリーズ遺跡を学ぶ２３,秋山 浩三／著 ,新泉社,
最古の王墓・吉武高木遺跡 ,シリーズ遺跡を学ぶ２４,常松 幹雄／著 ,新泉社,
石槍革命・八風山遺跡群 ,シリーズ遺跡を学ぶ２５,須藤 隆司／著 ,新泉社,
大和葛城の大古墳群・馬見古墳群 ,シリーズ遺跡を学ぶ２６,河上 邦彦／著 ,新泉社,
南九州に栄えた縄文文化・上野原遺跡 ,シリーズ遺跡を学ぶ２７,新東 晃一／著 ,新泉社,
泉北丘陵に広がる須恵器窯　陶邑遺跡群,シリーズ遺跡を学ぶ２８,中村 浩／著 ,新泉社,
東北古墳研究の原点・会津大塚山古墳 ,シリーズ遺跡を学ぶ２９,辻 秀人／著 ,新泉社,
赤城山麓の三万年前のムラ・下触牛伏遺跡 ,シリーズ遺跡を学ぶ３０,小菅 将夫／著 ,新泉社,
日本考古学の原点・大森貝塚 ,シリーズ遺跡を学ぶ３１,加藤 緑／著 ,新泉社,
斑鳩に眠る二人の貴公子・藤ノ木古墳 ,シリーズ遺跡を学ぶ３２,前園 実知雄／著 ,新泉社,
聖なる水の祀りと古代王権・天白磐座遺跡 ,シリーズ遺跡を学ぶ３３,辰巳 和弘／著 ,新泉社,
吉備の弥生大首長墓・楯築弥生墳丘墓 ,シリーズ遺跡を学ぶ３４,福本 明／著 ,新泉社,
最初の巨大古墳・箸墓古墳 ,シリーズ遺跡を学ぶ３５,清水 眞一／著 ,新泉社,
中国山地の縄文文化・帝釈峡遺跡群 ,シリーズ遺跡を学ぶ３６,河瀬 正利／著 ,新泉社,
縄文文化の起源をさぐる・小瀬ヶ沢・室谷洞窟 ,シリーズ遺跡を学ぶ３７,小熊 博史／著 ,新泉社,
世界航路へ誘う港市・長崎・平戸 ,シリーズ遺跡を学ぶ３８,川口 洋平／著,新泉社,
武田軍団を支えた甲州金・湯之奥金山 ,シリーズ遺跡を学ぶ３９,谷口 一夫／著 ,新泉社,
中世瀬戸内の港町　草戸千軒町遺跡,シリーズ遺跡を学ぶ４０,鈴木 康之／著 ,新泉社,
松島湾の縄文カレンダー・里浜貝塚 ,シリーズ遺跡を学ぶ４１,会田 容弘／著 ,新泉社,
地域考古学の原点・月の輪古墳 ,シリーズ遺跡を学ぶ４２,近藤 義郎／著中村 常定／著,新泉社,
天下統一の城　大坂城,シリーズ遺跡を学ぶ４３,中村 博司／著 ,新泉社,
東山道の峠の祭祀・神坂峠遺跡 ,シリーズ遺跡を学ぶ４４,市澤 英利／著 ,新泉社,
霞ヶ浦の縄文景観・陸平貝塚 ,シリーズ遺跡を学ぶ４５,中村 哲也／著 ,新泉社,
律令国家を支えた地方官衙・弥勒寺遺跡群 ,シリーズ遺跡を学ぶ４６,田中 弘志／著 ,新泉社,
戦争遺跡の発掘・陸軍前橋飛行場 ,シリーズ遺跡を学ぶ４７,菊池 実／著 ,新泉社,
最古の農村・板付遺跡 ,シリーズ遺跡を学ぶ４８,山崎 純男／著 ,新泉社,
ヤマトの王墓･桜井茶臼山古墳･メスリ山古墳 ,シリーズ遺跡を学ぶ４９,千賀 久／著 ,新泉社,
「弥生時代」の発見・弥生町遺跡 ,シリーズ遺跡を学ぶ５０,石川 日出志／著 ,新泉社,
邪馬台国の候補地・纒向遺跡 ,シリーズ遺跡を学ぶ５１,石野 博信／著 ,新泉社,
鎮護国家の大伽藍・武蔵国分寺 ,シリーズ遺跡を学ぶ５２,福田 信夫／著 ,新泉社,
古代出雲の原像をさぐる・加茂岩倉遺跡 ,シリーズ遺跡を学ぶ５３,田中 義昭／著,新泉社,
縄文人を描いた土器・和台遺跡  ,シリーズ遺跡を学ぶ５４,新井 達哉／著,新泉社,
古墳時代のシンボル・仁徳陵古墳 ,シリーズ遺跡を学ぶ５５,一瀬 和夫／著 ,新泉社,
大友宗麟の戦国都市・豊後府内 ,シリーズ遺跡を学ぶ５６,玉永 光洋／著坂本 嘉弘／著,新泉社,
東京下町に眠る戦国の城・葛西城 ,シリーズ遺跡を学ぶ５７,谷口 榮／著,新泉社,
武蔵野に残る旧石器人の足跡・砂川遺跡 ,シリーズ遺跡を学ぶ５９,野口 淳／著 ,新泉社,
南国土佐から問う弥生時代像・田村遺跡 ,シリーズ遺跡を学ぶ６０,出原 恵三／著,新泉社,
中世日本最大の貿易都市・博多遺跡群 ,シリーズ遺跡を学ぶ６１,大庭 康時／著 ,新泉社,
縄文の漆の里・下宅部遺跡,シリーズ遺跡を学ぶ６２,千葉 敏朗／著,新泉社,
東国大豪族の威勢・大室古墳群　〔群馬〕 ,シリーズ遺跡を学ぶ６３,前原 豊／著,新泉社,
新しい旧石器研究の出発点・野川遺跡,シリーズ遺跡を学ぶ６４,小田 静夫／著 ,新泉社,
旧石器人の遊動と植民・恩原遺跡群 ,シリーズ遺跡を学ぶ６５,稲田 孝司／著,新泉社,
古代東北統治の拠点・多賀城 ,シリーズ遺跡を学ぶ６６,進藤 秋輝／著 ,新泉社,
藤原仲麻呂がつくった壮麗な国庁・近江国府,シリーズ遺跡を学ぶ６７,平井 美典／著,新泉社,
列島始原の人類に迫る熊本の石器・沈目遺跡 ,シリーズ遺跡を学ぶ６８,木崎 康弘／著,新泉社,
奈良時代からつづく信濃の村・吉田川西遺跡 ,シリーズ遺跡を学ぶ６９,原 明芳／著 ,新泉社,
縄紋文化のはじまり・上黒岩岩陰遺跡 ,シリーズ遺跡を学ぶ７０,小林 謙一／著,新泉社,
国宝土偶「縄文ビーナス」の誕生・棚畑遺跡 ,シリーズ遺跡を学ぶ７１,鵜飼 幸雄／著,新泉社,
鎌倉幕府草創の地　伊豆韮山の中世遺跡群,シリーズ遺跡を学ぶ７２,池谷 初恵／著 ,新泉社,
東日本最大級の埴輪工房・生出塚埴輪窯 ,シリーズ遺跡を学ぶ７３,高田 大輔／著,新泉社,
奇偉荘厳の白鳳寺院・山田寺 ,シリーズ遺跡を学ぶ８５,箱崎 和久／著,新泉社,
東西弥生文化の結節点・朝日遺跡,シリーズ遺跡を学ぶ８８,原田 幹／著,新泉社,
黒耀石の原産地を探る　鷹山遺跡群,シリーズ遺跡を学ぶ　別冊１,長野県黒耀石体験ミュージアム／編,新泉社,
旧石器時代ガイドブック,シリーズ遺跡を学ぶ　別冊２,堤 隆／著,新泉社,
縄文時代ガイドブック,シリーズ遺跡を学ぶ　別冊３,勅使河原 彰／著 ,新泉社,
古墳時代ガイドブック,シリーズ遺跡を学ぶ　別冊４,若狭 徹／著 ,新泉社,
森浩一著作集１,,,,
森浩一著作集２,,,,
森浩一著作集３,,,,
森浩一著作集４,,,,
森浩一著作集５,,,,
岩波中国語辞典,,倉石武四郎著,岩波書店,1963
現代中日辞典,,"香坂順一, 太田辰夫共著",光生館,1961
Kenkyusha's new Japanese-English dictionary = 研究社新和英大辞典-- 第3版,背革特製,勝俣銓吉郎編集主幹,研究社,1961
The concise Oxford dictionary of current English,,adapted by H.W. Fowler and F.G. Fowler from the Oxford dictionary,Clarendon Press,1961
模範佛和大辭典-- 改版,,柳川勝二 [ほか] 共編,白水社,
新英和中辞典,,,,
岩波独和辞典,,,,
シニア英英辞典,,,,
現代スペイン語辞典,,,,
岩波国語辞典,,,,
古代メソアメリカ・アンデス文明への誘い,,,,
弥生時代の北陸を探る,,,,
千曲川ー信濃川流域の先史文化,,,,
美の考古学,,,,
吉備の縄文貝塚,,,,
帝釈峡遺跡群,,,,
東アジアと倭の眼でみた古墳時代,,,,
検証　古代日本と百済,,,,
ここが変わる！　日本の考古学,,,,
日本語の作文技術,,,,
藤井祐介君追悼記念　考古学論叢,,,,
低湿地の考古学,,,,
列島創世記,,,,
日本の原像,,,,
律令国家と万葉びと,,,,
揺れ動く貴族社会,,,,
近藤義郎と学ぶ考古学通論,,,,
考古学の思想,,,,
水洗トイレは古代にもあった,,,,
朝鮮語大辞典,上巻,大阪外国語大学朝鮮語研究室編,角川書店,1986
朝鮮語大辞典,下巻,大阪外国語大学朝鮮語研究室編,角川書店,1986
朝鮮語大辞典,補巻,大阪外国語大学朝鮮語研究室編,角川書店,1986
広辞苑,,,,
"Японско-русский словарь : около 34 000 слов / составили Л.А. Немзер и Н.А. Сыромятников ; под редакцией Н.И. Фельдман ; с приложением очерка грамматики современного японского языка, составленного Н.И. Фельдман. -- Изд. 3-е. -- ""Сов. энциклопедия"", 1965.",,,,1965
中国地名詞典,,上海辞书出版社編,上海辞书出版社,1990
中國人名大辭典-- 8版,,臧勵龢等編,商務印書館,1940
中國古今地名大辭典 -- 再版,: 道林紙本,臧勵龢等編,商務印書館,1933
最新コンサイス和露辞典,,井桁貞敏編,三省堂,1966
コンサイス露和辞典,,,,
露和辭典-- 第10刷,,八杉貞利編,岩波書店,1951
和露大辭典,,松田衛編,東京堂,1933
獨和言林,,佐藤通次著,白水社,1936
小学館ランダムハウス英和大辞典,[並装],小学館ランダムハウス英和大辞典第二版編集委員会編,小学館,1994
日本農耕社会の成立過程,,都出比呂志著,岩波書店,1989
九州縄文文化の研究,,,,
考古学の基本技術,,,,
縄文学の世界,,,,
シンポジウム縄文時代の考古学,,,,
物質性の人類学,,,,
考古学のための古人骨調査マニュアル,,,,
漆Ⅰ,,,,
漆Ⅱ,,,,
日本民族の起源,,,,
理論考古学,,,,
人と社会の生態考古学,,,,
縄文のムラと住まい,,,,
縄文「ムラ」の考古学,,,,
日本のブナ帯文化,,,,
「岩宿」の発見,,,,
発掘捏造,,,,
古墳時代の研究,,,,
続古代の技術,,,,
古代の技術,,,,
揺らぐ考古学の常識,,,,
歴史研究の最前線１,,,,
歴史研究の最前線２,,,,
歴史研究の最前線12,,,,
歴史研究の最前線13,,,,
歴史研究の最前線14,,,,
歴史研究の最前線15,,,,
歴史研究の最前線20,,,,
歴史研究の最前線21,,,,
古代はいま　よみがえる平城京,,,,
ミクロネシア民族誌,,,,
日本漁業経済史　上巻,,,,
日本漁業経済史　中巻一,,,,
日本漁業経済史　中巻二,,,,
日本漁業経済史　下巻,,,,
釣針史料集成,,勝部直達編著,溪水社,1978
結びのはなし,,,,
ガウランド日本考古学の父 = William Gowland : the father of Japanese archaeology,,"ヴィクター・ハリス, 後藤和雄責任編集 ; ヴィクター・ハリス [ほか] 執筆",朝日新聞社,2003
平城京長屋王邸宅と木簡,,奈良国立文化財研究所編,吉川弘文館,1991
長岡京研究序説,,,,
空から見た古代遺跡と条里,,,,
動物考古学と手引き,,,,
鏡の時代,,,,
「聖嶽」事件,,,,
旧石器時代文化から縄文時代文化の潮流,,,,
天平びとの華と祈り,,,,
考古学研究60の視点,,,,
過去を読む,,,,
日本古代の鉄文化,,,,
皇太后の山寺,,,,
アメリカ考古学史,,,,
日本考古学の現状と課題,,,,
群馬県遺跡大事典,,,,
繩文期貝塚関係文献目録 : [付]執筆者索引,,杉山博久編,刀水書房,1996
南島貝文化の研究 : 貝の道の考古学,,木下尚子著,法政大学出版局,1996
縄文土器の技術 : その実験的研究序説,,新井司郎著 ; 加曽利貝塚博物館編,中央公論美術出版,1973
"対馬ヌカシにおける縄文時代中期文化
 (別府大学考古学研究室報告 ; 第1冊)",1,坂田邦洋著,昭和堂印刷出版事業部,1978
日本考古圖録,,東京國立博物館編,朝日新聞社,1953
わが国土・わが文化財,,江口正一[ほか]著,学芸出版社,1961
日本における古鏡 発見地名表 : 東アジアより見た日本古代墓制研究,東北地方,岡崎敬著,岡崎敬,1977-1979
九州大学医学部解剖学第二講座所蔵古人骨資料集成 (日本民族・文化の生成 ; 2),2,九州大学医学部解剖学第二講座編著,六興出版,1988
戦国時代の考古学,,"小野正敏, 萩原三雄編",高志書院,2003
福岡平野の古環境と遺跡立地 : 環境としての遺跡との共存のために,,小林茂 [ほか] 編,九州大学出版会,1998
長岡京古文化論叢,,中山修一先生古稀記念事業会編,同朋舎出版,1986-1992
旧石器人の生活と集団,古代史復元1,稲田孝司編,講談社,1988
縄文人の生活と文化,古代史復元2,鈴木公雄編,講談社,1988
縄文人の道具,古代史復元3,小林達雄編,講談社,1988
弥生農村の誕生,古代史復元4,下条信行編,講談社,1989
弥生人の造形,古代史復元5,工楽善通編,講談社,1989
古墳時代の王と民衆,古代史復元6,都出比呂志編,講談社,1989
古墳時代の工芸,古代史復元7,白石太一郎編,講談社,1990
古代の宮殿と寺院,古代史復元8,町田章編,講談社,1989
古代の都と村,古代史復元9,金子裕之編,講談社,1989
古代から中世へ,古代史復元10,河原純之編,講談社,1990
狩猟・漁業・農業,考古学による日本歴史2,大塚初重 [ほか] 編,雄山閣,1996
政治,考古学による日本歴史5,町田章 [ほか] 編,雄山閣,1996
戦争,考古学による日本歴史6,町田章 [ほか] 編,雄山閣,2000
交易と交通,考古学による日本歴史9,白石太一郎 [ほか] 編,雄山閣出版,1997
対外交渉,考古学による日本歴史10,西谷正 [ほか] 編,雄山閣,1997
芸術・学芸とあそび,考古学による日本歴史12,大塚初重 [ほか] 編,雄山閣出版,1998
家族と住まい,考古学による日本歴史15,白石太一郎 [ほか] 編,雄山閣,1996
自然環境と文化,考古学による日本歴史16,西谷正 [ほか] 編,雄山閣,1996
ガラスの考古学,ものが語る歴史 ; 2,谷一尚著,同成社,1999
方形周溝墓の再発見,ものが語る歴史 ; 3,福田聖著,同成社,2000
遮光器土偶と縄文社会,ものが語る歴史 ; 4,,,
民族考古学と縄文の耳飾り,ものが語る歴史 ; 19,高山純著,同成社,2010
縄文の漆,ものが語る歴史 ; 20,岡村道雄著,同成社,2010
古墳時代親族構造の研究 : 人骨が語る古代社会(ポテンティア叢書 ; 39),,田中良之著,柏書房,1995
弥生時代ガラスの研究 : 考古学的方法,,藤田等著,名著出版,1994
館址 : 東北地方における集落址の研究,,"江上波夫,關野雄,櫻井清彦編著",東京大学東洋文化研究所,1958
弥生文化,,,,
縄文はいつから,,,,
古代出雲の文化,,,,
弥生時代はどう変わるか,,,,
縄文文化起源論の再構築,,,,
日本の古代国家,,,,
方法としての考古学,,,,
かもしかみち,,,,
海を渡った縄文人,,,,
銅鐸の謎 : 加茂岩倉遺跡,,南川三治郎撮影 ; 島根県加茂町教育委員会編,河出書房新社,1997
パキスタン考古学の新発見,,"A.H.ダーニー著 ; 小西正捷, 宗薹秀明訳",雄山閣出版,1995
消された歴史を掘る,,,,
考古学のためのGIS入門,,,,
再考！　縄文と弥生,,,,
縄文式土器,,,,
東アジアの国際都市博多,よみがえる中世1,川添昭二編,平凡社,1988
本願寺から天下一へ大坂,よみがえる中世2,佐久間貴士編,平凡社,1989
武士の都鎌倉,よみがえる中世3,"石井進, 大三輪龍彦編",平凡社,1989
北の中世津軽・北海道,よみがえる中世4,"菊池徹夫, 福田豊彦編",平凡社,1989
浅間火山灰と中世の東国,よみがえる中世5,"能登健, 峰岸純夫編",平凡社,1989
みちのくの都 : 多賀城・松島,よみがえる中世7,"入間田宣夫, 大石直正編",平凡社,1992
埋もれた港町 草戸千軒・鞆・尾道,よみがえる中世8,松下正司編,平凡社,1994
日本横穴地名表 : 古墳文化基礎資料,,"斎藤忠,杉山博久編",吉川弘文館,1983
日本古代寺院造営の研究,,森郁夫著,法政大学出版局,1998
先史日本の住居とその周辺 : 奈良国立文化財研究所シンポジウム報告,,浅川滋男編,同成社,1998
中国文化の考古地理学的研究,,,,
南島鉄器文化の研究,,朝岡康二著,渓水社,1991
海獣葡萄鏡の研究,,勝部明生著,臨川書店,1996
三角縁神獸鏡綜鑑,,樋口隆康著,新潮社,1992
法隆寺出土古瓦の研究(奈良縣史蹟名勝天然記念物調査會報告; 第9回),9,奈良縣編纂,奈良県,1926
北東アジア民族学史の研究 : 江戸時代日本人の観察記録を中心として,,加藤九祚著,恒文社,1986
払田柵の研究,,"新野直吉, 船木義勝著",文献出版,1990
北部九州における弥生時代墓制の研究,,高木暢亮著,九州大学出版会,2003
中世須恵器の研究,,吉岡康暢著,吉川弘文館,1994
経塚の諸相とその展開,,関秀夫著,雄山閣出版,1990
東上総の社会と文化 : 千葉県長生郡総合調査 (上智大学史学会研究報告 ; 2),2,"上智大学史学会,史学研究会編編","上智大学史学会, 史学研究会",1968
生業の考古学,,藤本強編,同成社,2006
東洋漆芸史の研究,,岡田譲著,中央公論美術出版,1978
古代東国の考古学的研究,,高橋一夫著,六一書房,2003
古代出土漆器の研究 : 顕微鏡で探る材質と技法,,岡田文男著,京都書院,1995
住の考古学,,藤本強編,同成社,1997
弥生時代の鉄器文化,,川越哲志著,雄山閣出版,1993
関東の方形周溝墓,,山岸良二編,同成社,1996
石棺から古墳時代を考える : 型と材質が表わす勢力分布,,間壁忠彦著,同朋舎出版,1994
前方後円墳観察への招待,,近藤義郎著,青木書店,2000
複雑採集狩猟民とはなにか,,,,
岩手を掘る : いわて発掘30年,,岩手県文化振興事業団埋蔵文化財センター編集,岩手県文化振興事業団埋蔵文化財センター,2008
塼仏,,,,
房総の考古学,,,,
モノと心に学ぶ伝統の知恵と実践,,,,
美作の首長墳 : 墳丘測量調査報告 (美作地方における前方後円墳秩序の構造的研究 ; 1),1,"倉林真砂斗, 澤田秀実編",吉備人出版,2000
世界遺産　縄文遺跡,,,,
掘り進められた神奈川の遺跡,,,,
韓国の前方後円形墳 : 早稲田大学韓国考古学学術調査研修報告,,岡内三眞編,雄山閣出版,1996
さまざまな栽培植物と農耕文化 (地球研ライブラリー ; 7-4),ユーラシア農耕史 ; 4,木村栄美編,臨川書店,2009
北日本の縄文後期土器編年の研究,,鈴木克彦著,雄山閣出版,2001
シルクロードを拓く,,,,
カリンバ遺跡と柏木B遺跡,,,,
津軽海峡域の先史文化研究,,,,
Early Korea-Japan Interactions,,,,
古墳人、現る,,,,
邪馬台国から大和政権へ,,,,
東名遺跡,,,,
青銅器の考古学と自然科学,,,,
古代日本と朝鮮の石碑文化,,,,
タネをまく縄文人,,,,
マメと縄文人,,,,
日本の古墳はなぜ巨大なのか,,,,
縄文生活の再現,,,,
晩氷期の人類社会,,,,
火と縄文人,ものが語る歴史34,,,
クリの木と縄文人,ものが語る歴史33,,,
縄文時代の歴史,,,,
土器のはじまり,,,,
縄文文化構造変動論,,,,
弥生時代の鉄器文化,,,,
日本の信仰遺跡,,,,
三角縁神獣鏡の研究,,福永伸哉著,大阪大学出版会,2005
板碑集成 : 東京国立博物館所蔵,,東京国立博物館編,東京国立博物館,2004
中国の陶磁,,奥田誠一 [ほか] 編,東都文化出版,1955
ハラフ文化の研究 : 西アジア先史時代への新視角,,常木晃著,同成社,2004
手焙形土器の研究,,高橋一夫著,六一書房,1998
モンゴル帝国史の考古学的研究,,白石典之著,同成社,2002
検証・日本列島 : 自然、ヒト、文化のルーツ,,第13回「大学と科学」公開シンポジウム組織委員会編,クバプロ,1999
古代湖の考古学,,"松井章, 牧野久実編",クバプロ,2000
絵巻物の建築を読む,,"小泉和子, 玉井哲雄, 黒田日出男編",東京大学出版会,1996
理論考古学の実践,,,,
縄文研究の新地平,,,,
縄文研究の新地平（続々）,,,,
讃岐国府の時代,,,,
北方文化と日本列島,,,,
やきものの鑑賞基礎知識,,,,
戦国城下町の考古学,,,,
藤原鎌足と阿武山古墳,,,,
海に生きた人びと,,,,
船をつくる、つたえる,,,,
考古学の道標,,,,
古墳から寺院へ,,,,
博物館資料の再生,,,,
学芸員と歩く　愛知・名古屋の戦争遺跡,,,,
解説　出雲国風土記,,,,
吉備の弥生時代,,,,
島と港の考古学,,,,
考古学への招待,,,,
考古学の方法,,,,
考古学ハンドブック,,,,
夏王朝,,,,
前方後円墳国家,,,,
三角縁神獣鏡の時代,,,,
考古学と古代史の間,,,,
神話から歴史へ,,,,
瓦,ものと人間の文化史 ; 100,森郁夫著,法政大学出版局,2001
丸木船,,,,
珊瑚,ものと人間の文化史 ; 91,鈴木克美著,法政大学出版局,1999
ユーラシア農耕史１,,,,
ユーラシア農耕史２,,,,
ユーラシア農耕史３,,,,
ユーラシア農耕史４,,,,
ユーラシア農耕史５,,,,
モンスーン農耕圏の人びとと植物,ユーラシア農耕史 ; 1,鞍田崇編,臨川書店,2008
日本人と米,ユーラシア農耕史 ; 2,木村栄美編,臨川書店,2009
砂漠・牧場の農耕と風土  (地球研ライブラリー ; 7-3 ),ユーラシア農耕史 ; 3,鞍田崇編,臨川書店,2009
農耕起源の人類史(地球研ライブラリー ; No.6),6,ピーター・ベルウッド著,京都大学学術出版会,2008
伝統に生かすハイテク技術,文化財の保存と修復3,文化財保存修復学会編,クバプロ,2001
歴史遺産と環境,文化財の保存と修復4,文化財保存修復学会編,クバプロ,2002
世界に活かす日本の技術,文化財の保存と修復5,文化財保存修復学会編,クバプロ,2003
科学で探る先達の知恵,文化財の保存と修復6,文化財保存修復学会編,クバプロ,2004
大森及び周辺地域の海苔生産用具,,,,
天理参考館選,,,,
古伊万里の見方,,,,
兵庫北関入舩納帳,,林屋辰三郎編,中央公論美術出版,1981
明治用水,,,,
明治用水,,,,
パフラヴィー語,,,,
スマトラ研究,,,,
日本縄文石器時代食料総説,,,,
山陰地方における縄文文化の研究,,,,
日本考古学を学ぶ（１）,,,,
日本考古学を学ぶ（２）,,,,
日本考古学を学ぶ（３）,,,,
通論考古学,,,,
考古学入門,,,,
古代の追跡,,,,
縄文土器文化研究序説,,,,
石器時代の経済学,,,,
中観,,,,
山野貝塚から縄文時代のムラと社会を探る,,,,
岩波講座日本通史,1,,,
岩波講座日本通史,2,,,
講座　日本歴史,1　原始・古代１,,,
講座　日本歴史,2　古代２,,,
日本の歴史01 縄文の生活誌,,,,
日本の歴史02 王権誕生,,,,
日本の歴史03 大王から天皇へ,,,,
日本の歴史04 平城京と木簡の世紀,,,,
日本の歴史05 律令国家の転換と「日本」,,,,
日本の歴史08 古代天皇制を考える,,,,
図説ハイテク考古学,,"村井俊治, 木全敬蔵編 ; 日本写真測量学会監修 ; 伊東太作[ほか]執筆",河出書房新社,1991
遺物の保存と調査,,沢田正昭編集・監修,クバプロ,2003
考古科学的研究法から見た木の文化・骨の文化,,松井章編集・監修,クバプロ,2003
考古学のための地下探査入門,,"アンソニー・クラーク著
北島功訳",雄山閣出版,1996
赤城山麓の旧石器,,"相沢忠洋,関矢晃著",講談社,1988
